batch_id,coat_thickness,dry_temp,cal_press,slurry_visc,dcir_mOhm,capacity_Ah,volt_drift_V,leak_uA,label_pass
1,74.87819743547549,104.79739412864451,226.77653222925173,892.1449654163822,34.76807020453986,5.0584989858139835,-0.021756867555058613,9.123901957223502,1
8,76.31001856983136,110.31853195465386,210.7082221508376,996.3826887374595,33.62858812213777,4.841145159357786,0.01067617199913744,6.818358129548744,0
7,84.45778172926964,102.83841269725094,205.15882772126406,879.147334480909,26.41821152437058,4.963913264016213,-0.014057157700058519,4.987967670087012,1
5,86.86734370325048,108.83482405102754,205.75558933309625,902.3131872400866,37.142820591155875,5.301824320185373,0.000523690137764324,8.040925064656951,1
5,78.17275264206214,98.86444887695302,218.39537655495747,1021.755038883587,36.913852852692784,4.936085143397616,-0.0024563558143346174,5.0844693735294335,1
9,77.23873055946677,110.6615658242226,190.2957343525973,877.4101162851493,34.3985932665258,4.907756165067486,0.004173389547646945,9.23610868226373,1
1,71.28922350382194,107.21797996022336,198.1726725623823,935.5045251353572,33.762084917513896,5.096953836493224,-0.01722707032179146,7.479770815502714,1
7,79.66767384443371,111.28498088569116,180.92861172321273,1091.6808263316386,33.90326283844744,4.914138633617044,0.0159853424107911,7.835254106251767,1
3,77.85090373051567,105.54465263556591,205.587738421619,1011.533039618658,29.624488956832607,4.910568097411477,-0.010094444889005124,4.134041682552965,1
1,76.04611162091956,105.57234799025964,208.481737505443,905.7696822237524,29.217611248494567,4.932656446484879,0.006634108695865814,7.5213850618947475,1
6,80.66412576192869,106.07967781261084,190.04399947765165,916.0504849983848,37.32649175685751,5.134977445434318,-0.005067810612677453,7.75455079105852,1
10,82.78551942844645,113.25408259711267,214.35080018000704,939.7930323089871,38.43100055811281,5.1383900467084125,0.030439861249741268,6.429790826272152,1
8,81.7692497738137,111.89043203295886,192.81120007375213,1028.7166538623485,36.9356639945519,4.961900192223479,0.022672750617410038,8.64248115845493,1
8,79.85162538409453,107.09875011049245,196.57531890983438,889.9011714204571,36.04330481509776,5.0666571380866525,0.03052343427693306,7.307314703888445,1
8,77.49513451127721,112.93849600254548,201.19565915620032,886.2698634879018,37.311070301634345,4.937127314739806,0.026261159901001505,8.8204860687401,1
8,82.79749929342015,112.90726327540226,215.94196362759814,992.8011834127657,37.37542356002914,5.019673099593128,-0.0005608055132473946,9.474170736424428,1
6,80.0375412782646,109.16895043209465,191.418021819191,849.131781963338,32.62148128110195,5.015178411238377,-0.008424701687616066,5.592486104840943,1
2,81.06507257450396,118.9052351814341,202.91247125365683,895.3353708409355,35.98779290947047,4.859842481528141,-0.012578765148111699,8.312804518661377,1
9,83.57022664841669,111.69648806657847,207.74837754792424,944.8946611054632,34.34118787403385,5.1765801166996965,0.004841654456714608,8.11042086027338,1
